JournalVolumePage,Author,StudyType,Year,MIGsYorN,WashOut,Washoutbaseline,BaselinewashoutSD,WashoutIOPperiod,WashoutIOP,WashoutSD,TypesofMIGSifany,AgeMean,AgeStdDev,Male,Female,OAG,ACG,NTG,PXG,acuteangleclosure,NoteonTypeofGlaucoma,PreOpEyes,PreOpIOPMean,PreOpIOPStdDev,MoEyes,MoIOPMean,MoIOPStdDev,MoAbsIOPChangeMean,MoAbsIOPChangeStdDev,AE,AF,AG,AH,AI,LastPeriodofEyes,TimeofLastPostOp,LastPeriodIOPMean,LastPeriodIOPStdDev,LastPeriodAbsIOPChangeMean,LastPeriodAbsIOPChangeStd,RxPreOpMean,RxPreOpStdDev,RxPostOpMean,RxPostOpStdDev,RxChangeMean,RxChangeStdDev,VisualAcuityPreOpMean,VisualAcuityPreOpStdDev,VisualAcuityPostOpMean,VisualAcuityPostOpStdDev,Notes
"OSL, 28(469-475)",Yalvac et al.,Retrospective,1997,N,N,,,,,,-,80.59999999999999,5.1,25.71,74.29000000000001,100,0,0,0,N,"54% PXG, 34% POAG, 12% PACG",35,19.7,4.6,35,16.3,3.1,-3.4,4.04,-,-,-,-,-,-,-,-,-,-,-,1.7,.7,-,-,,,.21,.13,-,-,-
"AO, 117(1311-1318)",Jacobi et al.,Prospective,1999,N,N,,,,,,-,71.3,6.1,45.45,54.55,0,0,0,100,N,,22,32,7.7,17,18.5,1.7,-,-,16,18.4,1.7,-,-,13,24 mo,18,1.3,-,-,2.2,.8,1.1,.8,,,-,-,-,-,-
"OSL, 30(37-40)",Kim et al.,Retrospective,1999,N,N,,,,,,-,70,-,38.71,61.29,100,0,0,0,N,,31,18.1,3.1,-,-,-,-,-,-,-,-,-,-,31,16.4 mo,15.2,2.9,-,-,1.7,-,.7,-,,,-,-,-,-,-
"AO, 117(1311-1318)",Jacobi et al.,Prospective,1999,Y,N,,,,,,Trabecular Aspiration,-,-,-,-,100,-,-,-,N,POAG,26,31.9,8,-,-,-,-,-,-,-,-,-,-,26,30 mo,18.8,2.5,-,-,2.1,.9,.8,.6,,,-,-,-,-,-
"JCRS, 27(1779-1786)",Hayashi et al.,Prospective,2001,N,N,,,,,,-,73.5,7.9,50,50,100,0,0,0,N,"29% PXG, some NTG",68,20.7,5.4,68,16.1,4.3,-4.5,4.6,50,16.3,4.2,-4.3,4.2,50,24 mo,15.2,3.8,-5.3,4.8,1.4,-,.8,-,,,-,-,-,-,had additional trabeculectomy
"JCRS, 27(1779-1786)",Hayashi et al.,Prospective,2001,N,N,,,,,,-,73.40000000000001,7.3,28.38,71.62,0,100,0,0,N,8% PXG,74,21.4,3.9,74,15.3,2.8,-6.1,3.6,74,15.3,3.6,-6,3.8,72,24 mo,14.5,2.6,-7.2,3.5,1.3,-,.6,-,,,-,-,-,-,-
"AAO, 109(1597-1603)",Jacobi et al.,Prospective,2002,N,N,,,,,,-,68.40000000000001,7.2,37.2,62.8,0,100,0,0,Y,100% Acute ACG,43,40.5,7.6,-,-,-,-,-,-,-,-,-,-,-,10.2 +/- 3.4 mo,17.8,3.4,-22.7,3.2,-,-,.18,.45,,,.7,.23,.18,.21,-
"JCRS, 31(479-483)",Mathalone et al.,Retrospective,2005,N,N,,,,,,-,80,7,52.94,47.06,100,0,0,0,N,,58,16.3,4.5,-,-,-,-,-,34,14.8,2.5,-1.5,4.4,24,24 mo,15.1,3.2,-1.9 ,4.9,1.5,.9,1.1,1.12,-.38,.9,-,-,-,-,-
"JMAT, 88(S21-S25)",Leelachaikul et al.,Retrospective,2005,N,N,,,,,,-,75,7,48.28,51.72,100,0,0,0,N,,58,16.5,3.8,-,-,-,-,-,58,15.1,2.5,-1.4,3.8,54,18 mo,15.2,3.7,-1.6,4.2,1.2,.58,.99,.95,-.41,.84,-,-,-,-,-
"JMAT, 88(S121-S125)",Euswas et al.,Retrospective,2005,N,N,,,,,,-,55,6.5,21.43,78.56999999999999,0,100,0,0,N,100% CACG PAS less than 180,34,20,2.5,34,18.1,1.4,-,-,-,-,-,-,-,-,-,-,-,-,-,.08,-,.03,-,,,-,-,-,-,-
"JMAT, 88(S121-S125)",Euswas et al.,Retrospective,2005,N,N,,,,,,-,55,6.5,21.43,78.56999999999999,0,100,0,0,N,100% CACG PAS more than 180 (severe),14,22,3.8,14,17.1,1.7,-,-,-,-,-,-,-,-,-,-,-,-,-,1.8,-,1.4,-,,,-,-,-,-,-
"BJO, 90(1014-1018)",Damji et al.,Prospective,2006,N,N,,,,,,-,73.98999999999999,10.78,31.03,68.97,100,0,0,0,N,no XFS,29,18.52,3.52,22,-,-,-1.55,4.95,21,-,-,-1.67,3.67,24,24 mo,-,-,-1.54,4.21,-,-,-,-,,,.52,.31,-,-,-
"BJO, 90(1014-1018)",Damji et al.,Prospective,2006,N,N,,,,,,-,72.48999999999999,6.32,31.03,68.97,0,0,0,100,N,XFS ,29,19.81,2.9,25,-,-,-4.08,2.95,27,-,-,-3.2,3.22,27,24 mo,-,-,-3.15,4.06,-,-,-,-,,,.77,.43,-,-,-
"JG, 15(494-498)",Shingleton et al. ,Retrospective,2006,N,N,,,,,,-,77.59999999999999,7,45.84,54.16,100,0,0,0,N,16% PXG,55,18.4,3.4,-,-,-,-,-,-,-,-,-,-,55,36 mo,-,-,-1.4,3.3,1.1,.5,1,.6,,,.59,.41,.31,.3,-
"JG, 15(47-52)",Lai et al.,Prospective,2006,N,N,,,,,,-,73.7,8.1,42.86,57.14,0,100,0,0,N,100% PACG,21,19.7,6.1,-,-,-,-,-,21,15.5,3.9,-,-,-,-,-,-,-,-,1.91,.77,.52,.87,,,.8,.3,.6,.4,"numbers from final follow up, but put in 1 yr column because that was the minimum requirement"
"JCRS, 33(1209-1216)",Shoji et al. ,Retrospective,2007,N,N,,,,,,-,74.90000000000001,7,14.29,85.70999999999999,100,0,0,0,N,,35,16.7,1.4,35,14.7,2.1,-1.9,2.3,32,15.8,2.7,-0.7,2.6,20,36 mo,15.6,3.4,-1,3,.8,.7,.8,-,,,.39,.27,.73,.4,-
"JCRS, 33(1209-1216)",Shoji et al. ,Retrospective,2007,Y,N,,,,,,Canaloplasty,-,-,-,-,100,-,-,-,N,POAG,31,17.2,1.5,-,-,-,-,-,-,-,-,-,-,16,36 mo,14.1,1.6,-3.1,1.8,1,.9,.4,-,,,-,-,-,-,-
"JCRS, 34(1834-1841)",Shingleton et al. ,Retrospective,2008,N,N,,,,,,-,78.2,7,29.17,70.83,0,0,0,100,N,,51,18,4,-,-,-,-,-,-,-,-,-,-,51,60 mo,16.9,3.4,-,-,1.6,.89,1,1.1,,,.59,.41,.31,.3,-
"AAO, 115(2167-2173)",Tham et al.,Prospective,2008,N,N,,,,,,-,71.90000000000001,6.7,37.14,62.86,0,100,0,0,N,100% CACG,35,16.3,3,35,14.7,2.8,-,-,35,14.3,2.9,-,-,35,24 mo,14.5,3.1,-,-,2.2,.8,1.1,1.2,,,.8,.3,.4,.3,-
"AAO, 115(1134-1140)",Lam et al.,Prospective,2008,N,N,,,,,,-,72.3,7.3,16.13,83.87,0,100,0,0,Y,100% APAC,31,59.7,8.699999999999999,31,12.7,3.1,-,-,31,12.1,2.6,-,-,30,18 mo,12.6,1.9,-,-,.39,.61,.03,.18,,,.57,.4,.28,.24,-
"KO, 110 (1-3)",Mierzejewski et al.,Retrospective,2008,N,N,,,,,,-,71.8,9.119999999999999,-,-,100,0,0,0,N,,52,18.44,4.83,-,-,-,-,-,-,-,-,-,-,52,14.4 +/- 4.1 mo,14.43,4.05,-4.01,4.01,1.53,.57,1.36,.59,,,-,-,-,-,-
"KO, 110 (1-3)",Mierzejewski et al.,Retrospective,2008,N,N,,,,,,-,71.8,9.119999999999999,-,-,0,0,0,100,N,Open angle ALL PXG,19,20.6,3.32,-,-,-,-,-,-,-,-,-,-,19,15.1 +/- 2.1 mo,15.05,2.05,-5.55,3.32,1.74,.73,1.16,.76,,,-,-,-,-,-
